date,country,abbreviation_canton,name_canton,number_canton,lat,long,tests_performed,total_currently_positive_cases,total_positive_cases,new_positive_cases,home_confinment,total_hospitalized,hospitalized_with_symptoms,intensive_care,recovered,deaths
2020-03-23,CH,AG,Aargau,01,47.40966,8.15688,0,234,234,0,0,0,0,0,0,0
2020-03-23,CH,AI,Appenzell Innerrhoden,16,47.317264,9.416754,0,4,4,0,0,0,0,0,0,0
2020-03-23,CH,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,0,27,27,0,0,0,0,0,0,0
2020-03-23,CH,BE,Bern,02,46.823608,7.636667,0,470,470,0,0,0,0,0,0,0
2020-03-23,CH,BL,Basel-Landschaft,13,47.45176,7.702414,0,292,292,0,0,0,0,0,0,0
2020-03-23,CH,BS,Basel-Stadt,12,47.564869,7.615259,0,376,376,0,0,0,0,0,0,0
2020-03-23,CH,FR,Fribourg,10,46.718391,7.074008,0,189,189,0,0,0,0,0,0,0
2020-03-23,CH,GE,Genève,25,46.220528,6.132935,0,1144,1144,0,0,0,0,0,0,0
2020-03-23,CH,GL,Glarus,08,46.931042000000005,9.065751,0,29,29,0,0,0,0,0,0,0
2020-03-23,CH,GR,Graubünden,01,46.656248,9.628198,0,266,266,0,0,0,0,0,0,0
2020-03-23,CH,JU,Jura,26,47.350744,7.156107,0,51,51,0,0,0,0,0,0,0
2020-03-23,CH,LU,Luzern,03,47.067763,8.1102,0,156,156,0,0,0,0,0,0,0
2020-03-23,CH,NE,Neuchatel,24,46.995534,6.780126,0,188,188,0,0,0,0,0,0,0
2020-03-23,CH,NW,Nidwalden,07,46.926755,8.405302,0,36,36,0,0,0,0,0,0,0
2020-03-23,CH,OW,Obwalden,06,46.804527,8.144317000000001,0,21,21,0,0,0,0,0,0,0
2020-03-23,CH,SG,St. Gallen,17,47.1832,9.274744,0,185,185,0,0,0,0,0,0,0
2020-03-23,CH,SH,Schaffhausen,14,47.71357,8.59167,0,30,30,0,0,0,0,0,0,0
2020-03-23,CH,SO,Solothurn,11,47.304135,7.639388,0,83,83,0,0,0,0,0,0,0
2020-03-23,CH,SZ,Schwyz,05,47.061787,8.756585,0,73,73,0,0,0,0,0,0,0
2020-03-23,CH,TG,Thurgau,01,47.568715,9.091957,0,81,81,0,0,0,0,0,0,0
2020-03-23,CH,TI,Ticino,21,46.295617,8.808924,0,1165,1165,0,0,0,0,0,0,0
2020-03-23,CH,UR,Uri,04,46.771849,8.628586,0,12,12,0,0,0,0,0,0,0
2020-03-23,CH,VD,Vaud,22,46.570091,6.557809000000001,0,1880,1880,0,0,0,0,0,0,0
2020-03-23,CH,VS,Valais,23,46.209567,7.604659,0,441,441,0,0,0,0,0,0,0
2020-03-23,CH,ZG,Zug,09,47.157296,8.537294,0,48,48,0,0,0,0,0,0,0
2020-03-23,CH,ZH,Zürich,01,47.41275,8.65508,0,1068,1068,0,0,0,0,0,0,0
