date,time,abbreviation_canton,tests_performed,total_positive_cases,new_hosp,total_hospitalized,intensive_care,ncumul_vent,released,deaths,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,diff_tested,current_hosp_resident,lat,long,name_canton,number_canton,new_positive_cases,new_deaths,total_currently_positive_per_100k,deaths_per_100k
2020-01-24,03:00,GE,4,,0,,,,,,https://www.ge.ch/document/20094/annexe/0,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-01-25,03:00,GE,8,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-01-26,03:00,GE,11,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-01-27,03:00,GE,18,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-01-28,03:00,GE,27,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-01-29,03:00,GE,54,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-01-30,03:00,GE,76,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-01-31,03:00,GE,93,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-01,03:00,GE,109,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-02,03:00,GE,115,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-03,03:00,GE,136,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-04,03:00,GE,156,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-05,03:00,GE,169,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-06,03:00,GE,175,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-07,03:00,GE,183,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-08,03:00,GE,192,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-09,03:00,GE,192,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-10,03:00,GE,204,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-11,03:00,GE,215,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-12,03:00,GE,223,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-13,03:00,GE,234,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-14,03:00,GE,240,,0,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-15,03:00,GE,245,,0,,,,,,https://www.ge.ch/document/21502/telecharger,1.0,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-16,03:00,GE,246,,0,,,,,,https://www.ge.ch/document/21502/telecharger,1.0,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-17,03:00,GE,248,,0,,,,,,https://www.ge.ch/document/21502/telecharger,2.0,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-18,03:00,GE,255,,0,,,,,,https://www.ge.ch/document/21502/telecharger,2.0,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-19,03:00,GE,263,,0,,,,,,https://www.ge.ch/document/21502/telecharger,2.0,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-20,03:00,GE,268,,0,,,,,,https://www.ge.ch/document/21502/telecharger,2.0,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
2020-02-21,03:00,GE,272,,0,,,,,,https://www.ge.ch/document/21502/telecharger,3.0,,,,,,,,,,,46.220528,6.132935,Genève,25,0,0,,
