last_update,timestamp,country,abbreviation_canton,name_canton,number_canton,lat,long,tests_performed,total_currently_positive_cases,total_positive_cases,new_hosp,total_hospitalized,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,intensive_care,ncumul_vent,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF,ncumul_confirmed_non_resident,current_hosp_non_resident,current_hosp_resident,TotalPosTests1,ninst_ICU_intub,new_positive_cases,new_deaths,doubling_time_total_positive,doubling_time_fatalities,source
2020-09-16 11:06:26,2020-09-14 01:00:00,CH,AG,Aargau,01,47.40966,8.15688,,2371,2371,0,2,353.35,7.899,1170,0,53,1,1,193.0,528.0,759.0,,,,,,,,7,0,87.573744,181.945634,https://www.ag.ch/de/themen_1/coronavirus_2/coronavirus.jsp
2020-09-16 11:06:26,2020-09-14 10:00:00,CH,AI,Appenzell Innerrhoden,16,47.317264,9.416754,,27,27,0,1,167.7,0.0,,0,0,,,2.0,12.0,9.0,21.0,,,,,,,1,0,45.032342,0.0,https://www.ai.ch/themen/gesundheit-alter-und-soziales/gesundheitsfoerderung-und-praevention/uebertragbare-krankheiten/coronavirus
2020-09-16 11:06:26,2020-09-14 11:55:00,CH,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,,151,151,1,1,273.55,5.435,,0,3,0,,11.0,123.0,42.0,165.0,,,,,,,12,0,25.771785,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/
2020-09-16 11:06:26,2020-09-15 06:00:00,CH,BE,Bern/Berne,02,46.823608,7.636667,,2893,2893,0,7,280.57,9.601,,0,99,2,1,,,,,,,,,,,27,0,68.366995,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html
2020-09-16 11:06:26,2020-09-15 01:00:00,CH,BL,Basel-Landschaft,13,47.45176,7.702414,,1108,1108,1,3,386.06,12.544,1021,0,36,0,0,39.0,123.0,192.0,315.0,,,,,,,8,0,172.808403,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft
2020-09-16 11:06:26,2020-09-16 06:00:00,CH,BS,Basel-Stadt,12,47.564869,7.615259,235,1279,1279,0,4,659.62,27.849,1181,0,54,1,,44.0,93.0,304.0,397.0,,547.0,,,,,1,0,314.883683,,https://www.gesundheit.bs.ch
2020-09-16 11:06:26,2020-09-15 01:00:00,CH,FL,Fürstentum Lichtenstein,00,47.166667,9.509722,900,111,111,0,1,287.56,2.591,106,0,1,,,,,,,,,,,,,0,0,190.610223,,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf
2020-09-16 11:06:26,2020-09-15 01:00:00,CH,FR,Fribourg,10,46.718391,7.074008,30,2151,2151,-5,17,682.64,27.928,165,0,88,2,,,,,,,,,,,,26,0,53.881377,,https://www.fr.ch/sites/default/files/2020-09/200915_statistiques_situation_COVID_site.xlsx
2020-09-16 11:06:26,2020-09-15 01:00:00,CH,GE,Genève,25,46.220528,6.132935,71961,7572,7572,8,29,1529.08,60.582,973,0,300,2,1,,,,,1.0,,,,,,0,0,154.46632,,https://www.ge.ch/document/21502/telecharger
2020-09-16 11:06:26,2020-09-16 09:00:00,CH,GL,Glarus,08,46.931042000000005,9.065751,,169,169,0,0,419.35,32.258,,0,13,,,,,,,,,,,,,1,0,291.118378,,https://www.gl.ch/public/upload/assets/30317/COVID-19_Fallzahlen_Kanton_Glarus.xlsx
