,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,ncumul_ICF,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
101,2020-06-24 12:05:01,2020-03-03 02:00:00,1,SZ,Schwyz,05,47.061787,8.756585,1,1,0,,,0.64,,,0,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/45351/MM_Coronavirus_4_3_2020.pdf,0.0,0.0
119,2020-06-24 12:05:01,2020-03-04 02:00:00,3,SZ,Schwyz,05,47.061787,8.756585,3,3,0,1,,1.91,,,0,,,,,,,,,,2,0,https://www.sz.ch/public/upload/assets/45351/MM_Coronavirus_4_3_2020.pdf,0.0,0.0
152,2020-06-24 12:05:01,2020-03-06 02:00:00,6,SZ,Schwyz,05,47.061787,8.756585,6,6,0,1,,3.81,,,0,,,,,,,,,,3,0,https://www.sz.ch/public/upload/assets/45417/MM_Coronavirus_6_3_2020.pdf,0.0,0.0
269,2020-06-24 12:05:01,2020-03-13 11:00:00,10,SZ,Schwyz,05,47.061787,8.756585,9,9,0,1,,5.72,,,0,,,,,,,,,,3,0,https://www.sz.ch/public/upload/assets/45585/MM_Coronavirus_13_03_2020.pdf,0.0,0.0
304,2020-06-24 12:05:01,2020-03-15 02:00:00,10,SZ,Schwyz,05,47.061787,8.756585,13,13,0,1,,8.26,,,0,,,,,,,,,,4,0,https://www.sz.ch/public/upload/assets/45590/MM_Coronavirus_15_3_2020.pdf,0.0,0.0
501,2020-06-24 12:05:01,2020-03-24 02:00:00,10,SZ,Schwyz,05,47.061787,8.756585,97,97,0,1,,61.67,0.0,10,0,0,,,,,,,,,84,0,https://www.sz.ch/public/upload/assets/47275/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,0.757586,0.0
528,2020-06-24 12:05:01,2020-03-25 02:00:00,10,SZ,Schwyz,05,47.061787,8.756585,97,97,0,1,,61.67,0.0,10,0,0,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/47275/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,0.997019,0.0
554,2020-06-24 12:05:01,2020-03-26 02:00:00,10,SZ,Schwyz,05,47.061787,8.756585,107,107,0,1,,68.02,0.0,20,0,0,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/47275/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1.202934,0.0
581,2020-06-24 12:05:01,2020-03-27 02:00:00,10,SZ,Schwyz,05,47.061787,8.756585,119,119,0,1,,75.65,0.636,32,0,1,,,,,,,,,12,1,https://www.sz.ch/public/upload/assets/47275/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1.342321,0.0
606,2020-06-24 12:05:01,2020-03-28 02:00:00,10,SZ,Schwyz,05,47.061787,8.756585,122,122,0,1,,77.56,0.636,33,0,1,,,,,,,,,3,0,https://www.sz.ch/public/upload/assets/47275/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1.547845,0.0
630,2020-06-24 12:05:01,2020-03-29 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,128,128,0,1,,81.37,1.271,33,0,2,,,,,,,,,6,1,https://www.sz.ch/public/upload/assets/47275/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,12.497277,0.0
656,2020-06-24 12:05:01,2020-03-30 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,135,135,0,1,,85.82,1.271,33,0,2,,,,,,,,,7,0,https://www.sz.ch/public/upload/assets/47275/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,10.484318,0.0
683,2020-06-24 12:05:01,2020-03-31 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,140,140,0,1,,89.0,2.543,48,0,4,,,,,,,,,5,2,https://www.sz.ch/public/upload/assets/47275/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,12.892711,0.0
